Vgas,Ang,ID,Vgas2,Vwater
0,0.063,0.4,2,0.4
0.5,0.01,10,3,10
70,2.55942,0.232648,1,0.232648
1,0.4,25,5,25
330,1.66836,0.241001,3,0.241001
310,0.00604976,3.78552,5,3.78552
70,0.237838,0.246075,5,0.246075
30,0.00208142,14.318,4,14.318
10,0.0025,16,3,16
15,0.00372759,6.29042,5,6.29042
2,0.004,25,3,25
70,0.0247419,4.01766,5,4.01766
0,1,0.025,5,0.025
0,3.4,0.63,5,0.63
359,0.1,0.016,3,0.016
15,1.59986,0.361207,5,0.361207
5,0.004,10,3,10
0.25,0.0025,0.1,5,0.1
330,0.0097969,39.0768,4,39.0768
15,2.27585,0.587458,5,0.587458
50,2.13474,0.0379777,5,0.0379777
310,0.103271,9.30572,5,9.30572
5,0.006,25,4,25
90,2.58218,0.61129,1,0.61129
80,0.248045,0.169435,5,0.169435
350,1.6,0.025,3,0.025
355,0.004,1,2,1
2,2.5,4,5,4
0.5,2.5,0.1,5,0.1
2,0.25,16,4,16
290,0.00159454,0.015969,3,0.015969
90,0.0885159,14.682,4,14.682
50,3.76324,0.944804,1,0.944804
80,0.381972,6.62471,5,6.62471
355,1.6,25,5,25
1,1,0.1,5,0.1
310,0.428296,0.0378552,5,0.0378552
359,0.63,16,5,16
355,0.004,0.016,2,0.016
290,1.65296,16.2486,4,16.2486
5,0.1,0.025,5,0.025
30,0.0755076,0.0835597,5,0.0835597
90,0.0362515,25.3388,4,25.3388
350,0.63,25,4,25
0.5,0.0025,0.025,5,0.025
290,0.983,0.154068,4,0.154068
30,0.00354255,9.05289,4,9.05289
359,1.6,0.04,5,0.04
310,2.65747,15.3993,5,15.3993
355,2.5,0.1,1,0.1
280,0.961076,0.156172,5,0.156172
2,0.04,25,4,25
355,0.016,10,3,10
355,2.5,2.5,5,2.5
330,0.396076,25.7711,4,25.7711
50,2.41238,2.43829,5,2.43829
0,0.1,0.025,2,0.025
355,0.016,4,3,4
70,0.0617257,9.65408,5,9.65408
310,0.00386616,0.0378552,5,0.0378552
2,0.01,0.4,5,0.4
1,0.16,25,4,25
0.5,1.6,0.1,5,0.1
20,0.0956024,0.23965,5,0.23965
0,0.16,0.025,2,0.025
90,1.54556,4.02968,5,4.02968
90,0.903509,9.79708,5,9.79708
350,1.6,6.3,5,6.3
90,0.00609414,2.51499,5,2.51499
50,0.061492,6.21785,5,6.21785
90,0.0144515,3.71705,5,3.71705
0,4,0.063,1,0.063
